"hgnc_symbol","entrezgene_id","go_id","name_1006","namespace_1003"
"ABCB1",5243,"0016021","integral component of membrane","cellular_component"
"ABCB1",5243,"0005737","cytoplasm","cellular_component"
"ABCB1",5243,"0005886","plasma membrane","cellular_component"
"ABCB1",5243,"0016020","membrane","cellular_component"
"ABCB1",5243,"0005654","nucleoplasm","cellular_component"
"ABCB1",5243,"0016324","apical plasma membrane","cellular_component"
"ABCB1",5243,"0070062","extracellular exosome","cellular_component"
"ABCB1",5243,"0098591","external side of apical plasma membrane","cellular_component"
"ABCB1",5243,"0009986","cell surface","cellular_component"
"ABCG2",9429,"0016021","integral component of membrane","cellular_component"
"ABCG2",9429,"0016020","membrane","cellular_component"
"ABCG2",9429,"0005886","plasma membrane","cellular_component"
"ABCG2",9429,"0005654","nucleoplasm","cellular_component"
"ABCG2",9429,"0005739","mitochondrion","cellular_component"
"ABCG2",9429,"0016324","apical plasma membrane","cellular_component"
"ABCG2",9429,"0045121","membrane raft","cellular_component"
"ABCG2",9429,"0031966","mitochondrial membrane","cellular_component"
"ABCG2",9429,"0031526","brush border membrane","cellular_component"
"ABCG2",9429,"0098591","external side of apical plasma membrane","cellular_component"
"ACE",1636,"0016020","membrane","cellular_component"
"ACE",1636,"0005615","extracellular space","cellular_component"
"ACE",1636,"0005737","cytoplasm","cellular_component"
"ACE",1636,"0005576","extracellular region","cellular_component"
"ACE",1636,"0005886","plasma membrane","cellular_component"
"ACE",1636,"0070062","extracellular exosome","cellular_component"
"ACE",1636,"0009897","external side of plasma membrane","cellular_component"
"ACE",1636,"0005764","lysosome","cellular_component"
"ACE",1636,"0005768","endosome","cellular_component"
"ACE",1636,"0009925","basal plasma membrane","cellular_component"
"ACE",1636,"0031526","brush border membrane","cellular_component"
"ACE",1636,"0031982","vesicle","cellular_component"
"ACE",1636,"0097225","sperm midpiece","cellular_component"
"ADCY1",107,"0016020","membrane","cellular_component"
"ADCY1",107,"0005886","plasma membrane","cellular_component"
"ADCY1",107,"0005737","cytoplasm","cellular_component"
"ADCY1",107,"0098793","presynapse","cellular_component"
"ADCY1",107,"0045121","membrane raft","cellular_component"
"ADCY1",107,"0070062","extracellular exosome","cellular_component"
"ADCY1",107,"0005634","nucleus","cellular_component"
"ADCY1",107,"0014069","postsynaptic density","cellular_component"
"ADCY1",107,"0098685","Schaffer collateral - CA1 synapse","cellular_component"
"ADCY1",107,"0098686","hippocampal mossy fiber to CA3 synapse","cellular_component"
"ADCY1",107,"0098839","postsynaptic density membrane","cellular_component"
"ADCY1",107,"0098978","glutamatergic synapse","cellular_component"
"AKT1",207,"0005634","nucleus","cellular_component"
"AKT1",207,"0005737","cytoplasm","cellular_component"
"AKT1",207,"0005886","plasma membrane","cellular_component"
"AKT1",207,"0016020","membrane","cellular_component"
"AKT1",207,"0032991","protein-containing complex","cellular_component"
"AKT1",207,"0005654","nucleoplasm","cellular_component"
"AKT1",207,"0005829","cytosol","cellular_component"
"AKT1",207,"0015630","microtubule cytoskeleton","cellular_component"
"AKT1",207,"0098794","postsynapse","cellular_component"
"AKT1",207,"0031982","vesicle","cellular_component"
"AKT1",207,"0030027","lamellipodium","cellular_component"
"AKT1",207,"0031234","extrinsic component of cytoplasmic side of plasma membrane","cellular_component"
"AKT1",207,"0005739","mitochondrion","cellular_component"
"AKT1",207,"0005819","spindle","cellular_component"
"AKT1",207,"0005911","cell-cell junction","cellular_component"
"AKT1",207,"0036064","ciliary basal body","cellular_component"
"AKT1",207,"0098978","glutamatergic synapse","cellular_component"
"AKT2",208,"0005634","nucleus","cellular_component"
"AKT2",208,"0005737","cytoplasm","cellular_component"
"AKT2",208,"0005886","plasma membrane","cellular_component"
"AKT2",208,"0016020","membrane","cellular_component"
"AKT2",208,"0005769","early endosome","cellular_component"
"AKT2",208,"0043231","intracellular membrane-bounded organelle","cellular_component"
