"UniProt_id","entrezgene_id","ensembl_gene_id","hgnc_symbol","RefSeq_protein_id","Ensembl_protein_id"
"O00206",7099,"ENSG00000136869","TLR4",NA,NA
"O00329",5293,"ENSG00000171608","PIK3CD",NA,NA
"O00459",5296,"ENSG00000105647","PIK3R2","NP_005018","ENSP00000222254"
"O14717",1787,"ENSG00000107614","TRDMT1",NA,NA
"O14920",3551,"ENSG00000104365","IKBKB","NP_001177649",NA
"O15111",1147,"ENSG00000213341","CHUK","NP_001269","ENSP00000359424"
"O15244",6582,"ENSG00000112499","SLC22A2",NA,NA
"O15264",5603,"ENSG00000156711","MAPK13",NA,NA
"O15519",8837,"ENSG00000003402","CFLAR",NA,NA
"O43318",6885,"ENSG00000135341","MAP3K7",NA,NA
"O60603",7097,"ENSG00000137462","TLR2",NA,"ENSP00000260010"
"O60674",3717,"ENSG00000096968","JAK2",NA,"ENSP00000371067"
"O75015",124905743,"ENSG00000162747","FCGR3B",NA,"ENSP00000356941"
"O75015",2215,"ENSG00000162747","FCGR3B",NA,"ENSP00000356941"
"O95467",2778,"ENSG00000087460","GNAS",NA,NA
"O95837",9630,"ENSG00000156049","GNA14","NP_004288","ENSP00000365807"
"P00734",2147,"ENSG00000180210","F2","NP_000497","ENSP00000308541"
"P01024",718,"ENSG00000125730","C3","NP_000055","ENSP00000245907"
"P01042",3827,"ENSG00000113889","KNG1",NA,NA
"P01100",2353,"ENSG00000170345","FOS",NA,NA
"P01375",7124,"ENSG00000232810","TNF","NP_000585","ENSP00000365290"
"P01574",3456,"ENSG00000171855","IFNB1","NP_002167","ENSP00000369581"
"P01579",3458,"ENSG00000111537","IFNG","NP_000610","ENSP00000229135"
"P01583",3552,"ENSG00000115008","IL1A","NP_000566","ENSP00000263339"
"P01584",3553,"ENSG00000125538","IL1B","NP_000567","ENSP00000263341"
"P01903",3122,"ENSG00000234794","HLA-DRA","NP_061984","ENSP00000372608"
"P01906",3118,"ENSG00000257473","HLA-DQA2","NP_064440",NA
"P01906",3117,"ENSG00000257473","HLA-DQA2","NP_064440",NA
"P01906",3117,"ENSG00000257473","HLA-DQA1","NP_064440",NA
"P01911",3123,"ENSG00000196126","HLA-DRB1","NP_001230894","ENSP00000353099"
"P01920",3119,"ENSG00000225824","HLA-DQB1","NP_001230891","ENSP00000382038"
"P02745",712,"ENSG00000173372","C1QA",NA,NA
"P02747",714,"ENSG00000159189","C1QC",NA,NA
"P02768",213,"ENSG00000163631","ALB",NA,NA
"P04234",915,"ENSG00000167286","CD3D","XP_016874032",NA
"P04440",3115,"ENSG00000223865","HLA-DPB1","NP_002112",NA
"P04839",1536,"ENSG00000165168","CYBB","NP_000388","ENSP00000367851"
"P04899",2771,"ENSG00000114353","GNAI2","NP_001269547",NA
"P05107",3689,"ENSG00000160255","ITGB2",NA,"ENSP00000303242"
"P05112",3565,"ENSG00000113520","IL4",NA,NA
"P05121",5054,"ENSG00000106366","SERPINE1",NA,NA
"P05177",1544,"ENSG00000140505","CYP1A2","NP_000752","ENSP00000342007"
"P05231",3569,"ENSG00000136244","IL6","NP_000591","ENSP00000258743"
"P05412",3725,"ENSG00000177606","JUN","NP_002219",NA
"P05556",3688,"ENSG00000150093","ITGB1",NA,NA
"P05771",5579,"ENSG00000166501","PRKCB",NA,NA
"P06340",3111,"ENSG00000206292","HLA-DOA","NP_002110",NA
"P07766",916,"ENSG00000198851","CD3E","NP_000724","ENSP00000354566"
"P08183",5243,"ENSG00000085563","ABCB1",NA,NA
"P08637",2214,"ENSG00000203747","FCGR3A","NP_000560","ENSP00000356944"
"P08684",1576,"ENSG00000160868","CYP3A4","NP_001189784","ENSP00000498939"
"P08754",2773,"ENSG00000065135","GNAI3","NP_006487","ENSP00000358867"
"P09471",2775,"ENSG00000087258","GNAO1",NA,NA
"P09693",917,"ENSG00000160654","CD3G","NP_000064","ENSP00000431445"
"P10145",3576,"ENSG00000169429","CXCL8","NP_000575","ENSP00000306512"
"P10147",6348,"ENSG00000278567","CCL3","NP_002974","ENSP00000480753"
"P10600",7043,"ENSG00000119699","TGFB3",NA,NA
"P10635",1565,"ENSG00000275211","CYP2D6",NA,"ENSP00000483677"
"P11215",3684,"ENSG00000169896","ITGAM",NA,NA
"P11387",7150,"ENSG00000198900","TOP1","NP_003277","ENSP00000354522"
"P11926",4953,"ENSG00000115758","ODC1","NP_001274118","ENSP00000234111"
"P12314",2209,"ENSG00000150337","FCGR1A",NA,NA
"P12318",2212,"ENSG00000143226","FCGR2A",NA,NA
"P12821",1636,"ENSG00000159640","ACE",NA,NA
"P13498",1535,"ENSG00000051523","CYBA","NP_000092","ENSP00000261623"
"P13500",6347,"ENSG00000108691","CCL2","NP_002973","ENSP00000225831"
"P13501",6352,"ENSG00000274233","CCL5","NP_002976","ENSP00000474412"
"P13612",3676,"ENSG00000115232","ITGA4",NA,NA
"P13762",3126,"ENSG00000231021","HLA-DRB4",NA,NA
"P13765",3112,"ENSG00000243612","HLA-DOB","NP_002111",NA
"P14555",5320,"ENSG00000188257","PLA2G2A","NP_000291",NA
"P14598",653361,"ENSG00000158517","NCF1",NA,NA
"P15260",3459,"ENSG00000027697","IFNGR1",NA,NA
"P16619",6349,"ENSG00000277768","CCL3L1",NA,NA
"P16619",414062,"ENSG00000277768","CCL3L3",NA,NA
"P17927",1378,"ENSG00000203710","CR1",NA,NA
"P19419",2002,"ENSG00000126767","ELK1","XP_016884828",NA
"P19438",7132,"ENSG00000067182","TNFRSF1A","NP_001333021",NA
"P19838",4790,"ENSG00000109320","NFKB1",NA,NA
"P19878",4688,"ENSG00000116701","NCF2",NA,NA
"P20036",3113,"ENSG00000228163","HLA-DPA1","NP_001229453",NA
"P20813",1555,"ENSG00000197408","CYP2B6","XP_011524852",NA
"P20815",1577,"ENSG00000106258","CYP3A5",NA,NA
"P20963",919,"ENSG00000198821","CD247",NA,NA
"P22301",3586,"ENSG00000136634","IL10","NP_000563","ENSP00000412237"
