"entrezgene_id","wikipathID","description"
"1636","WP554","ACE inhibitor pathway"
"1636","WP5183","SARS-CoV-2 mitochondrial chronic oxidative stress and endothelial dysfunction"
"1636","WP4969","RAS and bradykinin pathways in COVID-19"
"1636","WP5038","Mitochondrial immune response to SARS-CoV-2"
"1636","WP4756","Renin-angiotensin-aldosterone system (RAAS)"
"107","WP4589","Major receptors targeted by epinephrine and norepinephrine"
"107","WP3869","Cannabinoid receptor signaling"
"107","WP3676","BDNF-TrkB signaling"
"107","WP2636","Common pathways underlying drug addiction"
"107","WP4535","Envelope proteins and their potential roles in EDMD physiopathology"
"107","WP4222","Phosphodiesterases in neuronal function"
"107","WP35","G protein signaling pathways"
"107","WP4321","Thermogenesis"
"107","WP5083","Neuroinflammation and glutamatergic signaling"
"107","WP536","Calcium regulation in cardiac cells"
"107","WP289","Myometrial relaxation and contraction pathways"
"107","WP3929","Chemokine signaling pathway"
"107","WP3594","Circadian rhythm genes"
"207","WP5191","Resolvin E1 and resolvin D1 signaling pathways promoting inflammation resolution"
"207","WP1559","Transcription factors regulate miRNAs related to cardiac hypertrophy"
"207","WP5192","Modulation of PI3K-Akt-mTOR signaling by bioactive sphingolipids"
"207","WP3859","TGF-beta signaling in thyroid cells for epithelial-mesenchymal transition"
"207","WP3935","Leptin-insulin signaling overlap"
"207","WP2813","Mammary gland development pathway - Embryonic development (Stage 1 of 4)"
"207","WP3879","4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression"
"207","WP4936","Perturbations to host-cell autophagy, induced by SARS-CoV-2 proteins"
"207","WP4141","PI3K/AKT/mTOR - vitamin D3 signaling"
"207","WP4864","Host-pathogen interaction of human coronaviruses - apoptosis"
"207","WP3872","Regulation of apoptosis by parathyroid hormone-related protein"
"207","WP5181","Roles of ceramides in development of insulin resistance"
"207","WP5294","Sildenafil treatment"
"207","WP712","Estrogen signaling pathway"
"207","WP1539","Angiogenesis"
"207","WP5074","Kallmann syndrome"
"207","WP5272","LDL- influence on CD14 and TLR4"
"207","WP205","IL-7 signaling pathway"
"207","WP4483","Relationship between inflammation, COX-2 and EGFR"
"207","WP26","S1P receptor signal transduction"
"207","WP3658","Wnt/beta-catenin signaling pathway in leukemia"
"207","WP581","EPO receptor signaling"
"207","WP2035","Follicle stimulating hormone (FSH) signaling pathway"
"207","WP2583","T cell receptor and co-stimulatory signaling"
"207","WP5200","Dravet syndrome"
"207","WP3965","Lipid metabolism pathway"
"207","WP2870","Extracellular vesicle-mediated signaling in recipient cells"
"207","WP3844","PI3K-AKT-mTOR signaling pathway and therapeutic opportunities"
"207","WP2112","IL-17 signaling pathway"
"207","WP4838","Regucalcin in proximal tubule epithelial kidney cells"
"208","WP1559","Transcription factors regulate miRNAs related to cardiac hypertrophy"
"208","WP5101","Congenital generalized lipodystrophy"
"208","WP5294","Sildenafil treatment"
"208","WP4483","Relationship between inflammation, COX-2 and EGFR"
"208","WP26","S1P receptor signal transduction"
"208","WP3965","Lipid metabolism pathway"
"208","WP5102","Familial partial lipodystrophy"
"208","WP4481","Resistin as a regulator of inflammation"
"208","WP4871","Kisspeptin/kisspeptin receptor system in the ovary"
"208","WP4564","Neural crest cell migration during development"
"208","WP2036","TNF-related weak inducer of apoptosis (TWEAK) signaling pathway"
"208","WP4565","Neural crest cell migration in cancer"
"208","WP4566","Translation inhibitors in chronically activated PDGFRA cells"
"208","WP4539","Synaptic signaling pathways associated with autism spectrum disorder"
"208","WP5144","NRP1-triggered signaling pathways in pancreatic cancer "
"208","WP2018","RANKL/RANK signaling pathway"
"208","WP2795","Cardiac hypertrophic response"
"208","WP4205","MET in type 1 papillary renal cell carcinoma"
"208","WP4155","Endometrial cancer"
"208","WP1403","AMP-activated protein kinase signaling"
"208","WP4685","Melanoma"
"208","WP4255","Non-small cell lung cancer"
"208","WP4216","Chromosomal and microsatellite instability in colorectal cancer "
"208","WP4674","Head and neck squamous cell carcinoma"
"208","WP2261","Glioblastoma signaling pathways"
"208","WP4806","EGFR tyrosine kinase inhibitor resistance"
"208","WP4263","Pancreatic adenocarcinoma pathway"
"208","WP673","ErbB signaling pathway"
"208","WP4658","Small cell lung cancer"
"208","WP185","Integrin-mediated cell adhesion"
"10000","WP3287","Overview of nanoparticle effects"
"10000","WP5294","Sildenafil treatment"
"10000","WP4483","Relationship between inflammation, COX-2 and EGFR"
"10000","WP26","S1P receptor signal transduction"
"10000","WP2643","Nanoparticle-mediated activation of receptor signaling"
"10000","WP3965","Lipid metabolism pathway"
"10000","WP4481","Resistin as a regulator of inflammation"
"10000","WP4564","Neural crest cell migration during development"
"10000","WP4565","Neural crest cell migration in cancer"
"10000","WP4566","Translation inhibitors in chronically activated PDGFRA cells"
"10000","WP3981","miRNA regulation of prostate cancer signaling pathways"
"10000","WP4539","Synaptic signaling pathways associated with autism spectrum disorder"
"10000","WP5144","NRP1-triggered signaling pathways in pancreatic cancer "
"10000","WP4205","MET in type 1 papillary renal cell carcinoma"
"10000","WP4155","Endometrial cancer"
"10000","WP4685","Melanoma"
"10000","WP4255","Non-small cell lung cancer"
"10000","WP4216","Chromosomal and microsatellite instability in colorectal cancer "
