"hgnc_symbol","reactpathID","description","entrezgene_id"
"ABCB1","R-HSA-9757110","Prednisone ADME",5243
"ABCB1","R-HSA-382556","ABC-family proteins mediated transport",5243
"ABCB1","R-HSA-9748784","Drug ADME",5243
"ABCG2","R-HSA-189451","Heme biosynthesis",9429
"ABCG2","R-HSA-189483","Heme degradation",9429
"ABCG2","R-HSA-189445","Metabolism of porphyrins",9429
"ABCG2","R-HSA-9753281","Paracetamol ADME",9429
"ABCG2","R-HSA-917937","Iron uptake and transport",9429
"ABCG2","R-HSA-9748784","Drug ADME",9429
"ACE","R-HSA-2022377","Metabolism of Angiotensinogen to Angiotensins",1636
"ACE","R-HSA-2980736","Peptide hormone metabolism",1636
"ADCY1","R-HSA-170660","Adenylate cyclase activating pathway",107
"ADCY1","R-HSA-170670","Adenylate cyclase inhibitory pathway",107
"ADCY1","R-HSA-442720","CREB1 phosphorylation through the activation of Adenylate Cyclase",107
"ADCY1","R-HSA-164378","PKA activation in glucagon signalling",107
"ADCY1","R-HSA-163615","PKA activation",107
"ADCY1","R-HSA-111931","PKA-mediated phosphorylation of CREB",107
"ADCY1","R-HSA-163359","Glucagon signaling in metabolic regulation",107
"ADCY1","R-HSA-111933","Calmodulin induced events",107
"ADCY1","R-HSA-111997","CaM pathway",107
"ADCY1","R-HSA-111996","Ca-dependent events",107
"ADCY1","R-HSA-9664323","FCGR3A-mediated IL10 synthesis",107
"ADCY1","R-HSA-1489509","DAG and IP3 signaling",107
"ADCY1","R-HSA-432040","Vasopressin regulates renal water homeostasis via Aquaporins",107
"ADCY1","R-HSA-9660821","ADORA2B mediated anti-inflammatory cytokines production",107
"ADCY1","R-HSA-977444","GABA B receptor activation",107
"ADCY1","R-HSA-991365","Activation of GABAB receptors",107
"ADCY1","R-HSA-9634597","GPER1 signaling",107
"ADCY1","R-HSA-418597","G alpha (z) signalling events",107
"ADCY1","R-HSA-112043","PLC beta mediated events",107
"ADCY1","R-HSA-445717","Aquaporin-mediated transport",107
"ADCY1","R-HSA-112040","G-protein mediated events",107
"ADCY1","R-HSA-977443","GABA receptor activation",107
"ADCY1","R-HSA-9662851","Anti-inflammatory response favouring Leishmania parasite infection",107
"ADCY1","R-HSA-9664433","Leishmania parasite growth and survival",107
"ADCY1","R-HSA-438064","Post NMDA receptor activation events",107
"ADCY1","R-HSA-111885","Opioid Signalling",107
"ADCY1","R-HSA-442755","Activation of NMDA receptors and postsynaptic events",107
"ADCY1","R-HSA-163685","Integration of energy metabolism",107
"ADCY1","R-HSA-5610787","Hedgehog 'off' state",107
"ADCY1","R-HSA-5358351","Signaling by Hedgehog",107
"AKT1","R-HSA-9614399","Regulation of localization of FOXO transcription factors",207
"AKT1","R-HSA-1474151","Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",207
"AKT1","R-HSA-9755779","SARS-CoV-2 targets host intracellular signalling and regulatory pathways",207
"AKT1","R-HSA-1358803","Downregulation of ERBB2:ERBB3 signaling",207
"AKT1","R-HSA-203615","eNOS activation",207
"AKT1","R-HSA-198323","AKT phosphorylates targets in the cytosol",207
"AKT1","R-HSA-6804759","Regulation of TP53 Activity through Association with Co-factors",207
"AKT1","R-HSA-111447","Activation of BAD and translocation to mitochondria ",207
