InterPro_id,UniProt_id,entrezgene_id,interpro_short_description,interpro_description,Pfam_id
IPR000001,P00734,2147,Kringle,Kringle,PF00051
IPR000008,Q01970,5331,C2_dom,C2 domain,PF00168
IPR000008,Q15147,5332,C2_dom,C2 domain,PF00168
IPR000008,Q9NQ66,23236,C2_dom,C2 domain,PF00168
IPR000008,Q00722,5330,C2_dom,C2 domain,PF00168
IPR000008,P05771,5579,C2_dom,C2 domain,PF00168
IPR000009,Q9Y2T4,5522,PP2A_PR55,Protein phosphatase 2A regulatory subunit PR55,NA
IPR000009,Q00005,5521,PP2A_PR55,Protein phosphatase 2A regulatory subunit PR55,NA
IPR000009,P63151,5520,PP2A_PR55,Protein phosphatase 2A regulatory subunit PR55,NA
IPR000009,Q66LE6,55844,PP2A_PR55,Protein phosphatase 2A regulatory subunit PR55,NA
IPR000010,P01042,3827,Cystatin_dom,Cystatin domain,PF00031
IPR000020,P01024,718,Anaphylatoxin/fibulin,Anaphylatoxin/fibulin,PF01821
IPR000098,P22301,3586,IL-10,Interleukin-10,NA
IPR000157,Q8IUC6,148022,TIR_dom,Toll/interleukin-1 receptor homology (TIR) domain,PF01582
IPR000157,O00206,7099,TIR_dom,Toll/interleukin-1 receptor homology (TIR) domain,PF01582
IPR000157,Q9NR96,54106,TIR_dom,Toll/interleukin-1 receptor homology (TIR) domain,PF01582
IPR000157,Q99836,4615,TIR_dom,Toll/interleukin-1 receptor homology (TIR) domain,PF01582
IPR000157,O60603,7097,TIR_dom,Toll/interleukin-1 receptor homology (TIR) domain,PF01582
IPR000157,Q9Y2C9,10333,TIR_dom,Toll/interleukin-1 receptor homology (TIR) domain,PF01582
IPR000183,P11926,4953,Orn/DAP/Arg_de-COase,Ornithine/DAP/Arg decarboxylase,NA
IPR000198,P27986,5295,RhoGAP_dom,Rho GTPase-activating protein domain,PF00620
IPR000198,O00459,5296,RhoGAP_dom,Rho GTPase-activating protein domain,PF00620
IPR000215,P05121,5054,Serpin_fam,Serpin family,NA
IPR000242,P29350,5777,PTP_cat,"Tyrosine-specific protein phosphatase, PTPase domain",PF00102
IPR000264,P02768,213,ALB/AFP/VDB,ALB/AFP/VDB,NA
IPR000270,P19878,4688,PB1_dom,PB1 domain,PF00564
IPR000270,Q15080,4689,PB1_dom,PB1 domain,PF00564
IPR000276,P30411,624,GPCR_Rhodpsn,"G protein-coupled receptor, rhodopsin-like",PF00001
IPR000294,P00734,2147,GLA_domain,Gamma-carboxyglutamic acid-rich (GLA) domain,PF00594
IPR000299,O60674,3717,FERM_domain,FERM domain,NA
IPR000299,P23458,3716,FERM_domain,FERM domain,NA
IPR000333,P36897,7046,TGFB_receptor,"Ser/Thr protein kinase, TGFB receptor",NA
IPR000333,P37173,7048,TGFB_receptor,"Ser/Thr protein kinase, TGFB receptor",NA
IPR000341,P42338,5291,PI3K_Ras-bd_dom,Phosphatidylinositol 3-kinase Ras-binding (PI3K RBD) domain,PF00794
IPR000341,P42336,5290,PI3K_Ras-bd_dom,Phosphatidylinositol 3-kinase Ras-binding (PI3K RBD) domain,PF00794
IPR000341,O00329,5293,PI3K_Ras-bd_dom,Phosphatidylinositol 3-kinase Ras-binding (PI3K RBD) domain,PF00794
IPR000353,P01920,3119,MHC_II_b_N,"MHC class II, beta chain, N-terminal",PF00969
IPR000353,P01911,3123,MHC_II_b_N,"MHC class II, beta chain, N-terminal",PF00969
IPR000353,Q30154,3127,MHC_II_b_N,"MHC class II, beta chain, N-terminal",PF00969
IPR000353,P04440,3115,MHC_II_b_N,"MHC class II, beta chain, N-terminal",PF00969
IPR000353,P13765,3112,MHC_II_b_N,"MHC class II, beta chain, N-terminal",PF00969
IPR000353,P13762,3126,MHC_II_b_N,"MHC class II, beta chain, N-terminal",PF00969
IPR000357,P30153,5518,HEAT,HEAT repeat,PF02985
IPR000357,P30154,5519,HEAT,HEAT repeat,PF02985
IPR000367,P63092,2778,Gprotein_alpha_S,"G-protein alpha subunit, group S",NA
IPR000367,Q5JWF2,2778,Gprotein_alpha_S,"G-protein alpha subunit, group S",NA
IPR000367,P38405,2774,Gprotein_alpha_S,"G-protein alpha subunit, group S",NA
IPR000387,P29350,5777,Tyr_Pase_dom,Tyrosine-specific protein phosphatases domain,NA
IPR000403,P42336,5290,PI3/4_kinase_cat_dom,"Phosphatidylinositol 3-/4-kinase, catalytic domain",PF00454
