"hgnc_symbol","entrezgene_id","go_id","name_1006","namespace_1003"
"ABCB1",5243,"GO_0005524","ATP binding","molecular_function"
"ABCB1",5243,"GO_0140359","ABC-type transporter activity","molecular_function"
"ABCB1",5243,"GO_0000166","nucleotide binding","molecular_function"
"ABCB1",5243,"GO_0005515","protein binding","molecular_function"
"ABCB1",5243,"GO_0016887","ATP hydrolysis activity","molecular_function"
"ABCB1",5243,"GO_0140326","ATPase-coupled intramembrane lipid transporter activity","molecular_function"
"ABCB1",5243,"GO_0008559","ABC-type xenobiotic transporter activity","molecular_function"
"ABCB1",5243,"GO_0042626","ATPase-coupled transmembrane transporter activity","molecular_function"
"ABCB1",5243,"GO_0042910","xenobiotic transmembrane transporter activity","molecular_function"
"ABCB1",5243,"GO_0015562","efflux transmembrane transporter activity","molecular_function"
"ABCB1",5243,"GO_0090554","phosphatidylcholine floppase activity","molecular_function"
"ABCB1",5243,"GO_0022857","transmembrane transporter activity","molecular_function"
"ABCB1",5243,"GO_0140328","floppase activity","molecular_function"
"ABCB1",5243,"GO_0031625","ubiquitin protein ligase binding","molecular_function"
"ABCB1",5243,"GO_0046943","carboxylic acid transmembrane transporter activity","molecular_function"
"ABCB1",5243,"GO_0090555","phosphatidylethanolamine flippase activity","molecular_function"
"ABCB1",5243,"GO_0099038","ceramide floppase activity","molecular_function"
"ABCG2",9429,"GO_0005524","ATP binding","molecular_function"
"ABCG2",9429,"GO_0042626","ATPase-coupled transmembrane transporter activity","molecular_function"
"ABCG2",9429,"GO_0140359","ABC-type transporter activity","molecular_function"
"ABCG2",9429,"GO_0000166","nucleotide binding","molecular_function"
"ABCG2",9429,"GO_0005515","protein binding","molecular_function"
"ABCG2",9429,"GO_0046983","protein dimerization activity","molecular_function"
"ABCG2",9429,"GO_0042802","identical protein binding","molecular_function"
"ABCG2",9429,"GO_0032217","riboflavin transmembrane transporter activity","molecular_function"
"ABCG2",9429,"GO_0008559","ABC-type xenobiotic transporter activity","molecular_function"
"ABCG2",9429,"GO_0042803","protein homodimerization activity","molecular_function"
"ABCG2",9429,"GO_0015143","urate transmembrane transporter activity","molecular_function"
"ABCG2",9429,"GO_0015562","efflux transmembrane transporter activity","molecular_function"
"ABCG2",9429,"GO_0042910","xenobiotic transmembrane transporter activity","molecular_function"
"ABCG2",9429,"GO_0008514","organic anion transmembrane transporter activity","molecular_function"
"ABCG2",9429,"GO_0015225","biotin transmembrane transporter activity","molecular_function"
"ACE",1636,"GO_0008237","metallopeptidase activity","molecular_function"
"ACE",1636,"GO_0008241","peptidyl-dipeptidase activity","molecular_function"
"ACE",1636,"GO_0046872","metal ion binding","molecular_function"
