"Drugbank.ID","entrezgene_id","Drug","Disease","hgnc_symbol","MESH.ID","UniProt_id","PubChem.ID","ChEMBL.ID"
"DB00336",7498,"Nitrofural","Chagas Disease","XDH","D014355","P47989","5447130","CHEMBL869"
"DB00738",1565,"Pentamidine","Trypanosomiasis, African","CYP2D6","D014353","P10635","4735","CHEMBL55"
"DB00738",1565,"Pentamidine","Leishmaniasis","CYP2D6","D007896","P10635","4735","CHEMBL55"
"DB00738",1557,"Pentamidine","Leishmaniasis","CYP2C19","D007896","P33261","4735","CHEMBL55"
"DB00738",1557,"Pentamidine","Trypanosomiasis, African","CYP2C19","D014353","P33261","4735","CHEMBL55"
"DB00738",1787,"Pentamidine","Trypanosomiasis, African","TRDMT1","D014353","O14717","4735","CHEMBL55"
"DB00738",1787,"Pentamidine","Leishmaniasis","TRDMT1","D007896","O14717","4735","CHEMBL55"
"DB04786",23408,"Suramin","Trypanosomiasis, African","SIRT5","D014353","Q9NXA8","5361","CHEMBL265502"
"DB04786",5320,"Suramin","Trypanosomiasis, African","PLA2G2A","D014353","P14555","5361","CHEMBL265502"
"DB04786",2147,"Suramin","Trypanosomiasis, African","F2","D014353","P00734","5361","CHEMBL265502"
"DB05630",7150,"Sodium stibogluconate","Leishmaniasis","TOP1","D007896","P11387","56927674",NA
"DB06243",4953,"Eflornithine","Trypanosomiasis, African","ODC1","D014353","P11926","3009","CHEMBL830"
"DB09031",5337,"Miltefosine","Leishmaniasis","PLD1","D007896","Q13393","3599","CHEMBL125"
"DB09031",5243,"Miltefosine","Leishmaniasis","ABCB1","D007896","P08183","3599","CHEMBL125"
"DB11820",213,"Nifurtimox","Chagas Disease","ALB","D014355","P02768","6842999","CHEMBL290960"
"DB11820",213,"Nifurtimox","Trypanosomiasis, African","ALB","D014353","P02768","6842999","CHEMBL290960"
"DB11820",9429,"Nifurtimox","Trypanosomiasis, African","ABCG2","D014353","Q9UNQ0","6842999","CHEMBL290960"
"DB11820",9429,"Nifurtimox","Chagas Disease","ABCG2","D014355","Q9UNQ0","6842999","CHEMBL290960"
"DB12265",1544,"Fexinidazole","Chagas Disease","CYP1A2","D014355","P05177","68792","CHEMBL1631694"
"DB12265",1555,"Fexinidazole","Chagas Disease","CYP2B6","D014355","P20813","68792","CHEMBL1631694"
"DB12265",1544,"Fexinidazole","Trypanosomiasis, African","CYP1A2","D014353","P05177","68792","CHEMBL1631694"
"DB12265",1557,"Fexinidazole","Trypanosomiasis, African","CYP2C19","D014353","P33261","68792","CHEMBL1631694"
"DB12265",1557,"Fexinidazole","Chagas Disease","CYP2C19","D014355","P33261","68792","CHEMBL1631694"
"DB12265",1555,"Fexinidazole","Trypanosomiasis, African","CYP2B6","D014353","P20813","68792","CHEMBL1631694"
"DB12265",9356,"Fexinidazole","Trypanosomiasis, African","SLC22A6","D014353","Q4U2R8","68792","CHEMBL1631694"
"DB12265",1565,"Fexinidazole","Chagas Disease","CYP2D6","D014355","P10635","68792","CHEMBL1631694"
"DB12265",10599,"Fexinidazole","Chagas Disease","SLCO1B1","D014355","Q9Y6L6","68792","CHEMBL1631694"
"DB12265",1577,"Fexinidazole","Trypanosomiasis, African","CYP3A5","D014353","P20815","68792","CHEMBL1631694"
"DB12265",1576,"Fexinidazole","Chagas Disease","CYP3A4","D014355","P08684","68792","CHEMBL1631694"
"DB12265",1576,"Fexinidazole","Trypanosomiasis, African","CYP3A4","D014353","P08684","68792","CHEMBL1631694"
"DB12265",1577,"Fexinidazole","Chagas Disease","CYP3A5","D014355","P20815","68792","CHEMBL1631694"
"DB12265",2328,"Fexinidazole","Chagas Disease","FMO3","D014355","P31513","68792","CHEMBL1631694"
"DB12265",9356,"Fexinidazole","Chagas Disease","SLC22A6","D014355","Q4U2R8","68792","CHEMBL1631694"
"DB12265",146802,"Fexinidazole","Trypanosomiasis, African","SLC47A2","D014353","Q86VL8","68792","CHEMBL1631694"
"DB12265",9376,"Fexinidazole","Chagas Disease","SLC22A8","D014355","Q8TCC7","68792","CHEMBL1631694"
"DB12265",55244,"Fexinidazole","Trypanosomiasis, African","SLC47A1","D014353","Q96FL8","68792","CHEMBL1631694"
"DB12265",2328,"Fexinidazole","Trypanosomiasis, African","FMO3","D014353","P31513","68792","CHEMBL1631694"
"DB12265",1565,"Fexinidazole","Trypanosomiasis, African","CYP2D6","D014353","P10635","68792","CHEMBL1631694"
"DB12265",10599,"Fexinidazole","Trypanosomiasis, African","SLCO1B1","D014353","Q9Y6L6","68792","CHEMBL1631694"
"DB12265",28234,"Fexinidazole","Chagas Disease","SLCO1B3","D014355","Q9NPD5","68792","CHEMBL1631694"
"DB12265",55244,"Fexinidazole","Chagas Disease","SLC47A1","D014355","Q96FL8","68792","CHEMBL1631694"
"DB12265",6582,"Fexinidazole","Chagas Disease","SLC22A2","D014355","O15244","68792","CHEMBL1631694"
"DB12265",6582,"Fexinidazole","Trypanosomiasis, African","SLC22A2","D014353","O15244","68792","CHEMBL1631694"
"DB12265",9376,"Fexinidazole","Trypanosomiasis, African","SLC22A8","D014353","Q8TCC7","68792","CHEMBL1631694"
"DB12265",146802,"Fexinidazole","Chagas Disease","SLC47A2","D014355","Q86VL8","68792","CHEMBL1631694"
"DB12265",28234,"Fexinidazole","Trypanosomiasis, African","SLCO1B3","D014353","Q9NPD5","68792","CHEMBL1631694"
