"MESH_id","hgnc_symbol","entrezgene_id","Disease","hgnc_id","Ensembl_id","MONDO_id","MedGen_id","Orphanet_id"
"D007896","ABCB1",5243,"Leishmaniasis",40,"ENSG00000085563","0011989","C0023281",507
"D007896","TGFB3",7043,"Leishmaniasis",11769,"ENSG00000119699","0011989","C0023281",507
"D007896","MAPK14",1432,"Leishmaniasis",6876,"ENSG00000112062","0011989","C0023281",507
"D007896","IL12B",3593,"Leishmaniasis",5970,"ENSG00000113302","0011989","C0023281",507
"D007896","IL1A",3552,"Leishmaniasis",5991,"ENSG00000115008","0011989","C0023281",507
"D007896","C3",718,"Leishmaniasis",1318,"ENSG00000125730","0011989","C0023281",507
"D007896","CYP2C19",1557,"Leishmaniasis",2621,"ENSG00000165841","0011989","C0023281",507
"D007896","MARCKSL1",65108,"Leishmaniasis",7142,"ENSG00000175130","0011989","C0023281",507
"D007896","HLA-DMA",3108,"Leishmaniasis",4934,"ENSG00000204257","0011989","C0023281",507
"D007896","HLA-DOA",3111,"Leishmaniasis",4936,"ENSG00000204252","0011989","C0023281",507
"D007896","HLA-DOB",3112,"Leishmaniasis",4937,"ENSG00000241106","0011989","C0023281",507
"D007896","CYP2D6",1565,"Leishmaniasis",2625,"ENSG00000100197","0011989","C0023281",507
"D007896","HLA-DPB1",3115,"Leishmaniasis",4940,"ENSG00000223865","0011989","C0023281",507
"D007896","HLA-DQA1",3117,"Leishmaniasis",4942,"ENSG00000196735","0011989","C0023281",507
"D007896","HLA-DQA2",3118,"Leishmaniasis",4943,"ENSG00000237541","0011989","C0023281",507
"D007896","HLA-DQA2",3117,"Leishmaniasis",4943,"ENSG00000237541","0011989","C0023281",507
"D007896","HLA-DQB1",3119,"Leishmaniasis",4944,"ENSG00000179344","0011989","C0023281",507
"D007896","EEF1A1",1915,"Leishmaniasis",3189,"ENSG00000156508","0011989","C0023281",507
"D007896","MAPK3",5595,"Leishmaniasis",6877,"ENSG00000102882","0011989","C0023281",507
"D007896","ELK1",2002,"Leishmaniasis",3321,"ENSG00000126767","0011989","C0023281",507
"D007896","HLA-DRB4",3126,"Leishmaniasis",4952,"ENSG00000227357","0011989","C0023281",507
"D007896","HLA-DRB5",3127,"Leishmaniasis",4953,"ENSG00000198502","0011989","C0023281",507
"D007896","JUN",3725,"Leishmaniasis",6204,"ENSG00000177606","0011989","C0023281",507
"D007896","CR1",1378,"Leishmaniasis",2334,"ENSG00000203710","0011989","C0023281",507
"D007896","FCGR1A",2209,"Leishmaniasis",3613,"ENSG00000150337","0011989","C0023281",507
"D007896","FCGR2A",2212,"Leishmaniasis",3616,"ENSG00000143226","0011989","C0023281",507
"D007896","FCGR2C",9103,"Leishmaniasis",15626,"ENSG00000244682","0011989","C0023281",507
"D007896","FCGR3A",2214,"Leishmaniasis",3619,"ENSG00000203747","0011989","C0023281",507
"D007896","FCGR3B",124905743,"Leishmaniasis",3620,"ENSG00000162747","0011989","C0023281",507
"D007896","FCGR3B",2215,"Leishmaniasis",3620,"ENSG00000162747","0011989","C0023281",507
"D007896","IFNGR2",3460,"Leishmaniasis",5440,"ENSG00000159128","0011989","C0023281",507
"D007896","HLA-DRA",3122,"Leishmaniasis",4947,"ENSG00000204287","0011989","C0023281",507
"D007896","STAT1",6772,"Leishmaniasis",11362,"ENSG00000115415","0011989","C0023281",507
"D007896","TAB1",10454,"Leishmaniasis",18157,"ENSG00000100324","0011989","C0023281",507
"D007896","FOS",2353,"Leishmaniasis",3796,"ENSG00000170345","0011989","C0023281",507
"D007896","MAPK11",5600,"Leishmaniasis",6873,"ENSG00000185386","0011989","C0023281",507
"D007896","MYD88",4615,"Leishmaniasis",7562,"ENSG00000172936","0011989","C0023281",507
"D007896","CR1L",1379,"Leishmaniasis",2335,"ENSG00000197721","0011989","C0023281",507
"D007896","MAPK13",5603,"Leishmaniasis",6875,"ENSG00000156711","0011989","C0023281",507
"D007896","CYBA",1535,"Leishmaniasis",2577,"ENSG00000051523","0011989","C0023281",507
"D007896","CYBB",1536,"Leishmaniasis",2578,"ENSG00000165168","0011989","C0023281",507
"D007896","IRAK4",51135,"Leishmaniasis",17967,"ENSG00000198001","0011989","C0023281",507
"D007896","NFKB1",4790,"Leishmaniasis",7794,"ENSG00000109320","0011989","C0023281",507
"D007896","ITGA4",3676,"Leishmaniasis",6140,"ENSG00000115232","0011989","C0023281",507
"D007896","TOP1",7150,"Leishmaniasis",11986,"ENSG00000198900","0011989","C0023281",507
"D007896","EEF1A2",1917,"Leishmaniasis",3192,"ENSG00000101210","0011989","C0023281",507
"D007896","IL1B",3553,"Leishmaniasis",5992,"ENSG00000125538","0011989","C0023281",507
"D007896","TLR2",7097,"Leishmaniasis",11848,"ENSG00000137462","0011989","C0023281",507
"D007896","IL4",3565,"Leishmaniasis",6014,"ENSG00000113520","0011989","C0023281",507
"D007896","TLR4",7099,"Leishmaniasis",11850,"ENSG00000136869","0011989","C0023281",507
"D007896","PRKCB",5579,"Leishmaniasis",9395,"ENSG00000166501","0011989","C0023281",507
"D007896","HLA-DPA1",3113,"Leishmaniasis",4938,"ENSG00000231389","0011989","C0023281",507
"D007896","IRAK1",3654,"Leishmaniasis",6112,"ENSG00000184216","0011989","C0023281",507
"D007896","NCF4",4689,"Leishmaniasis",7662,"ENSG00000100365","0011989","C0023281",507
"D007896","IFNGR1",3459,"Leishmaniasis",5439,"ENSG00000027697","0011989","C0023281",507
"D007896","MAP3K7",6885,"Leishmaniasis",6859,"ENSG00000135341","0011989","C0023281",507
"D007896","MAPK1",5594,"Leishmaniasis",6871,"ENSG00000100030","0011989","C0023281",507
"D007896","JAK2",3717,"Leishmaniasis",6192,"ENSG00000096968","0011989","C0023281",507
"D007896","ITGAM",3684,"Leishmaniasis",6149,"ENSG00000169896","0011989","C0023281",507
"D007896","HLA-DRB3",3125,"Leishmaniasis",4951,"ENSG00000196101","0011989","C0023281",507
"D007896","JAK1",3716,"Leishmaniasis",6190,"ENSG00000162434","0011989","C0023281",507
"D007896","NCF1",653361,"Leishmaniasis",7660,"ENSG00000158517","0011989","C0023281",507
"D007896","NOS2",4843,"Leishmaniasis",7873,"ENSG00000007171","0011989","C0023281",507
"D007896","MAPK12",6300,"Leishmaniasis",6874,"ENSG00000188130","0011989","C0023281",507
