"hgnc_symbol","entrezgene_id","go_id","name_1006","namespace_1003"
"ABCB1",5243,"GO_0055085","transmembrane transport","biological_process"
"ABCB1",5243,"GO_0006869","lipid transport","biological_process"
"ABCB1",5243,"GO_0006805","xenobiotic metabolic process","biological_process"
"ABCB1",5243,"GO_0150104","transport across blood-brain barrier","biological_process"
"ABCB1",5243,"GO_0140115","export across plasma membrane","biological_process"
"ABCB1",5243,"GO_1990962","xenobiotic transport across blood-brain barrier","biological_process"
"ABCB1",5243,"GO_0045332","phospholipid translocation","biological_process"
"ABCB1",5243,"GO_0009410","response to xenobiotic stimulus","biological_process"
"ABCB1",5243,"GO_0000086","G2/M transition of mitotic cell cycle","biological_process"
"ABCB1",5243,"GO_0046865","terpenoid transport","biological_process"
"ABCB1",5243,"GO_0047484","regulation of response to osmotic stress","biological_process"
"ABCB1",5243,"GO_0070633","transepithelial transport","biological_process"
"ABCB1",5243,"GO_0072089","stem cell proliferation","biological_process"
"ABCB1",5243,"GO_0099040","ceramide translocation","biological_process"
"ABCB1",5243,"GO_1901529","positive regulation of anion channel activity","biological_process"
"ABCB1",5243,"GO_1905039","carboxylic acid transmembrane transport","biological_process"
"ABCB1",5243,"GO_1990961","xenobiotic detoxification by transmembrane export across the plasma membrane","biological_process"
"ABCB1",5243,"GO_2001225","regulation of chloride transport","biological_process"
"ABCG2",9429,"GO_0055085","transmembrane transport","biological_process"
"ABCG2",9429,"GO_0006869","lipid transport","biological_process"
"ABCG2",9429,"GO_0032218","riboflavin transport","biological_process"
"ABCG2",9429,"GO_0042908","xenobiotic transport","biological_process"
"ABCG2",9429,"GO_0046415","urate metabolic process","biological_process"
"ABCG2",9429,"GO_0150104","transport across blood-brain barrier","biological_process"
"ABCG2",9429,"GO_0140115","export across plasma membrane","biological_process"
"ABCG2",9429,"GO_1990962","xenobiotic transport across blood-brain barrier","biological_process"
"ABCG2",9429,"GO_0015711","organic anion transport","biological_process"
"ABCG2",9429,"GO_0070633","transepithelial transport","biological_process"
"ABCG2",9429,"GO_0015747","urate transport","biological_process"
"ABCG2",9429,"GO_0015878","biotin transport","biological_process"
"ABCG2",9429,"GO_0097744","renal urate salt excretion","biological_process"
"ABCG2",9429,"GO_1990748","cellular detoxification","biological_process"
"ACE",1636,"GO_0006508","proteolysis","biological_process"
"ACE",1636,"GO_0001822","kidney development","biological_process"
"ACE",1636,"GO_0019229","regulation of vasoconstriction","biological_process"
"ACE",1636,"GO_0048167","regulation of synaptic plasticity","biological_process"
"ACE",1636,"GO_1900086","positive regulation of peptidyl-tyrosine autophosphorylation","biological_process"
"ACE",1636,"GO_2000170","positive regulation of peptidyl-cysteine S-nitrosylation","biological_process"
"ACE",1636,"GO_0008217","regulation of blood pressure","biological_process"
"ACE",1636,"GO_0042445","hormone metabolic process","biological_process"
"ACE",1636,"GO_0014910","regulation of smooth muscle cell migration","biological_process"
"ACE",1636,"GO_0002003","angiotensin maturation","biological_process"
"ACE",1636,"GO_0001974","blood vessel remodeling","biological_process"
"ACE",1636,"GO_0002019","regulation of renal output by angiotensin","biological_process"
"ACE",1636,"GO_0002446","neutrophil mediated immunity","biological_process"
"ACE",1636,"GO_0050482","arachidonic acid secretion","biological_process"
